P_si1_4-29	P_si1_4-30	P_si1_5-8	P_siNC_4-29	P_siNC_4-30	P_siNC_5-8
AC010890.1	5	3	2	3	5	8
AC011243.1	0	1	0	3	0	1
MGAT5	963	1187	1183	1015	961	927
TMEM163	5	8	7	7	9	6
CCNT2-AS1	6	17	6	11	10	9
ACMSD	3	8	4	1	3	7
CCNT2	730	827	783	719	721	687
MAP3K19	7	5	11	8	13	4
RAB3GAP1	1455	1422	1392	1158	1083	1079
ZRANB3	235	280	252	254	247	248
R3HDM1	1818	1872	1745	1795	1672	1482
UBXN4	2047	2396	2011	1881	1787	1850
LCT	7	5	8	6	11	15
AC011893.3	0	4	1	0	4	1
MCM6	2010	1984	1920	2286	1990	1817
DARS	1170	1353	1538	1666	1393	1660
AC093391.2	11	23	17	21	24	21
AC068492.1	1	1	1	1	1	1
CXCR4	6	6	4	16	4	9
THSD7B	10	11	11	10	12	10
AC020601.1	3	0	2	2	6	0
HNMT	42	68	46	47	56	43
AC069394.1	0	0	2	3	0	0
AC097721.2	19	19	19	18	17	23
AC114763.1	1	2	1	0	4	2
SPOPL	629	647	602	560	565	517
RP11-231E19.1	3	0	3	3	5	0
AC092620.3	0	2	1	1	2	1
NXPH2	13	12	16	19	11	24
AC062021.1	0	1	1	3	4	2
AC016710.1	0	1	0	1	4	1
AC078851.1	1	0	0	1	1	1
AC073928.2	4	2	1	1	3	1
LRP1B	35	34	28	33	43	45
KYNU	6	5	6	12	6	8
ARHGAP15	4	15	12	8	18	15
RP11-190J23.1	2	2	0	0	1	4
AC096558.1	2	0	1	3	2	1
RP11-570L15.2	0	0	0	1	0	2
RP11-570L15.1	2	3	2	2	1	3
AC092652.1	0	2	0	0	7	3
RP11-434H14.1	1	1	1	0	1	1
CTD-2252P21.1	0	1	1	0	2	2
AC079584.2	0	0	1	1	3	0
AC016910.1	2	3	0	1	0	3
GTDC1	229	226	250	287	249	241
ZEB2	80	70	77	75	93	80
ZEB2-AS1	2	0	0	4	0	2
AC010090.1	1	1	2	0	1	1
TEX41	13	13	8	9	18	13
AC023128.1	0	0	0	0	0	1
RP11-514A9.1	1	0	0	2	2	2
AC064865.1	1	2	2	1	3	1
AC092484.1	2	1	3	2	2	0
AC079163.1	0	1	0	1	0	0
AC062031.1	1	1	2	1	0	1
AC103881.1	1	0	3	2	4	1
AC062032.1	4	2	2	1	3	3
ACVR2A	171	170	168	172	154	154
AC009480.3	0	1	0	3	2	0
ORC4	606	676	610	651	644	565
MBD5	292	361	335	271	242	290
EPC2	431	368	419	360	293	337
AC105402.4	3	3	3	5	7	6
KIF5C	13	15	12	35	50	14
LYPD6B	22	20	12	19	26	20
LYPD6	9	13	7	7	13	5
MMADHC	2286	2482	2485	2392	2098	2070
AC144449.1	2	1	0	2	0	2
AC007364.1	4	3	0	1	5	3
AC016682.1	1	0	3	1	2	0
AC113610.1	0	1	2	2	3	0
RND3	1739	1975	1684	1780	1552	1557
AC104777.2	3	2	3	5	2	3
AC104777.3	1	0	0	0	2	2
AC104777.1	0	1	0	2	0	0
AC104777.4	1	0	0	2	2	2
AC023469.2	0	1	1	1	1	2
AC023469.1	0	1	2	0	1	2
AC018731.3	0	2	0	0	1	1
RBM43	37	68	41	52	59	37
NMI	149	162	112	230	182	130
TNFAIP6	3	1	1	4	3	6
RIF1	2012	2189	1951	2073	2021	1780
NEB	81	92	93	94	115	101
ARL5A	939	1018	985	1038	900	838
CACNB4	55	69	37	82	105	72
AC079790.2	0	1	1	1	0	0
STAM2	615	755	579	632	675	581
FMNL2	1931	1898	2413	2205	1764	2353
PRPF40A	3079	2995	2765	3298	2903	2797
ARL6IP6	773	798	748	740	703	649
AC011901.2	1	1	0	0	1	3
AC079150.3	2	1	2	2	2	1
RPRM	1	1	2	4	0	3
GALNT13	6	6	4	6	10	10
AC009227.2	3	2	1	1	1	5
AC009227.3	1	0	1	0	6	2
KCNJ3	6	5	4	0	7	0
AC092625.1	0	0	0	1	0	0
AC093375.1	11	9	7	11	15	9
NR4A2	58	70	42	55	56	47
GPD2	955	945	926	1091	963	907
GALNT5	59	65	72	65	70	69
ERMN	4	1	2	6	6	9
CYTIP	4	3	8	7	7	5
ACVR1C	12	8	13	10	14	9
AC019186.1	2	3	3	0	0	3
ACVR1	841	746	989	1008	810	980
UPP2	11	10	8	6	8	10
RP11-546J1.1	3	3	6	4	6	7
RP11-1152H14.1	1	2	0	1	1	0
CCDC148-AS1	1	2	1	1	3	1
CCDC148	21	30	19	23	21	17
PKP4	2733	2399	2560	2478	1869	2151
AC005042.4	14	13	22	17	18	15
AC005042.5	1	1	2	1	1	0
DAPL1	4	1	1	2	2	6
TANC1	2074	2309	1872	1852	1857	1346
WDSUB1	143	173	139	170	173	179
BAZ2B	425	421	395	470	433	421
AC008277.1	1	1	0	0	1	2
AC009506.1	21	24	21	17	20	11
AC009961.3	44	34	33	52	34	37
MARCH7	1618	1734	1568	1605	1520	1475
CD302	5	3	3	4	7	1
LY75	4	5	4	5	8	3
PLA2R1	74	73	36	59	68	40
ITGB6	13	14	18	16	19	10
RBMS1	1162	1289	1038	1614	1421	1154
AC009313.1	2	0	0	0	2	1
TANK	298	288	281	348	329	319
AC009299.2	5	2	4	1	9	4
AC009299.3	1	6	1	2	1	4
PSMD14	2832	2668	2854	2662	2174	2540
TBR1	5	6	5	8	7	7
SLC4A10	13	8	10	12	23	15
DPP4	12	15	10	13	6	7
AC008063.2	2	2	1	0	1	3
AC008063.3	1	1	0	0	0	1
GCG	6	3	4	3	6	5
AC007750.5	2	3	3	3	2	2
FAP	12	9	15	15	15	17
IFIH1	108	90	77	179	167	116
GCA	79	132	56	105	125	77
KCNH7	15	15	17	14	21	12
AC007740.1	1	2	2	2	5	6
FIGN	761	797	815	974	688	853
AC092684.1	2	2	2	1	5	3
GRB14	5	5	1	3	5	9
COBLL1	26	20	30	29	36	30
AC019181.2	2	1	1	2	2	1
SLC38A11	5	2	6	7	7	6
AC013463.2	0	0	0	0	3	1
SCN3A	17	12	3	12	17	21
SCN2A	18	11	12	9	24	13
CSRNP3	10	12	12	11	14	12
GALNT3	5	5	9	7	5	7
AC009495.2	1	0	0	2	2	2
AC009495.3	0	0	3	0	3	3
TTC21B	344	442	401	411	438	365
AC010127.3	7	9	5	3	8	7
SCN1A	3	16	9	11	17	13
SCN9A	52	68	105	46	48	82
SCN7A	9	8	10	8	17	9
XIRP2	10	13	11	10	14	18
XIRP2-AS1	0	1	2	2	1	1
AC074363.1	5	6	5	6	5	8
AC016723.4	1	0	1	4	0	0
B3GALT1	28	35	47	25	23	38
STK39	505	570	499	458	445	440
CERS6	527	578	609	600	584	620
CERS6-AS1	1	2	1	1	3	3
NOSTRIN	37	44	39	35	55	55
SPC25	434	536	387	483	425	446
G6PC2	1	5	4	3	3	6
ABCB11	10	18	9	9	25	17
DHRS9	114	77	241	162	95	222
AC007556.3	1	2	0	1	1	0
LRP2	37	40	25	26	40	29
BBS5	142	195	180	165	134	154
KLHL41	9	6	4	6	10	8
FASTKD1	490	624	616	562	520	534
PPIG	752	932	883	876	905	779
CCDC173	27	37	23	26	28	23
PHOSPHO2	28	29	31	22	38	23
KLHL23	313	325	465	363	371	385
SSB	1173	1420	1411	2096	2057	1948
METTL5	647	766	745	725	659	742
UBR3	991	940	965	896	706	770
MYO3B	20	12	12	13	24	22
AC012594.1	7	1	6	8	8	7
AC007277.3	9	6	3	1	9	2
LINC01124	5	2	5	1	3	4
SP5	6	10	9	9	17	4
AC007405.4	8	6	6	5	3	7
AC007405.6	27	39	30	38	36	43
ERICH2	2	8	9	4	7	7
GAD1	197	206	176	228	192	176
AC007405.8	3	4	1	7	4	10
GORASP2	1439	1499	1465	1545	1321	1378
TLK1	1237	1485	1215	1192	1179	1135
METTL8	390	406	423	437	365	397
DCAF17	478	504	525	473	455	446
CYBRD1	5	16	13	17	16	3
DYNC1I2	1816	2179	1915	1792	1679	1675
AC068039.1	0	0	1	1	0	0
AC068039.4	8	12	9	14	11	13
SLC25A12	655	777	708	718	797	643
HAT1	957	1056	1045	1736	1491	1541
METAP1D	299	283	348	272	219	270
DLX1	161	202	214	240	232	198
DLX2	225	280	260	253	244	201
AC104801.1	11	13	13	16	11	10
AC104088.1	2	0	0	3	2	1
ITGA6	5504	5866	6195	5436	4367	5056
AC078883.4	1	0	0	0	1	2
AC078883.3	1	1	3	2	2	5
AC093818.1	20	23	16	12	17	25
PDK1	235	425	365	228	397	457
RAPGEF4-AS1	7	4	4	2	6	4
RAPGEF4	19	29	10	25	24	23
MLTK	3230	3244	3417	3883	3583	3458
MLK7-AS1	18	18	14	18	9	11
CDCA7	955	1090	966	902	973	717
RP11-796E10.1	0	0	1	1	0	0
AC106900.6	4	1	0	0	0	2
SP3	1422	1400	1405	1855	1609	1428
RP11-394I13.2	6	9	5	13	9	5
RP11-394I13.3	1	1	1	0	0	1
RP11-394I13.1	2	0	1	1	2	5
OLA1	2019	2269	2018	2074	2058	1900
AC018470.4	7	16	3	3	9	6
SP9	0	2	3	2	3	2
AC018470.1	0	0	3	1	3	0
CIR1	201	268	197	165	199	150
SCRN3	264	279	279	275	263	260
GPR155	20	45	25	31	38	35
AC010894.3	8	8	5	6	10	4
AC018890.6	7	10	3	4	6	6
WIPF1	79	93	62	80	80	63
AC010894.5	0	0	0	0	1	0
CHRNA1	3	2	5	2	5	9
AC018890.4	4	2	0	1	1	2
CHN1	674	777	686	738	666	601
ATF2	820	862	790	895	832	784
AC096649.2	4	1	1	0	5	1
ATP5G3	3929	4104	4020	4327	4055	4020
AC096649.3	2	3	2	3	2	0
AC016751.3	0	0	1	2	1	0
AC016751.2	1	1	0	2	0	0
KIAA1715	350	443	384	336	345	357
EVX2	0	1	4	0	3	9
HOXD13	1	1	0	2	7	3
HOXD12	0	1	3	2	3	2
HOXD11	1	2	4	2	4	2
HOXD10	1	5	3	0	5	6
HOXD-AS2	1	1	1	2	7	5
HOXD9	2	0	1	4	6	1
HOXD8	1	2	2	8	2	5
HOXD3	5	12	1	7	7	6
HOXD4	1	1	0	2	2	0
RP11-387A1.5	1	0	1	1	4	1
HOXD-AS1	14	12	7	14	17	11
AC009336.24	0	3	0	1	1	2
HOXD1	2	1	2	0	2	4
MTX2	562	630	688	660	713	678
AC017048.1	2	1	0	2	1	1
AC017048.2	3	1	0	1	4	1
RP11-324L17.1	0	2	2	1	1	1
LINC01116	16	14	7	28	17	19
LINC01117	1	1	2	3	4	2
AC092162.1	8	4	4	5	6	4
AC073636.1	2	0	2	0	2	3
AC079305.11	1	1	2	2	2	0
AC079305.8	0	0	0	2	0	1
HNRNPA3	7105	8867	7699	7984	8589	7525
NFE2L2	2164	2166	2125	2548	2265	2193
AC079305.10	6	8	2	3	4	3
RP11-337N6.2	1	1	1	1	1	1
RP11-337N6.1	1	3	2	1	0	2
AGPS	1830	1985	1869	2021	1740	1592
TTC30B	100	125	124	104	126	95
TTC30A	66	104	81	55	64	47
PDE11A	13	22	12	20	25	20
AC012499.1	1	0	2	1	2	2
RBM45	199	235	217	248	187	238
OSBPL6	245	239	213	267	218	215
RP11-65L3.1	3	9	2	2	8	5
AC009948.5	106	124	141	119	94	106
PRKRA	731	776	722	852	766	701
DFNB59	24	25	23	24	27	23
FKBP7	35	58	39	31	51	28
PLEKHA3	426	429	485	510	423	474
TTN-AS1	56	61	49	64	46	67
TTN	358	428	383	334	423	422
RP11-65L3.4	5	5	5	2	1	3
RP11-65L3.2	3	3	3	5	6	1
RP11-171I2.2	1	4	1	1	0	1
RP11-171I2.3	1	0	0	1	1	1
RP11-171I2.1	1	1	0	3	1	1
RP11-88L24.4	2	0	0	1	0	3
CCDC141	14	12	14	18	28	16
SESTD1	339	482	321	349	357	254
AC093911.1	0	0	0	0	1	2
ZNF385B	8	9	8	8	13	10
CWC22	517	605	582	611	501	543
AC009478.1	0	2	0	3	1	3
UBE2E3	1438	1407	1607	1751	1342	1697
AC104076.3	2	0	2	3	2	2
AC068196.1	2	1	1	2	3	4
AC104820.2	5	8	2	2	10	5
AC020595.1	0	1	0	2	1	0
ITGA4	12	15	7	19	13	18
CERKL	14	30	12	17	21	12
NEUROD1	2	1	1	0	2	4
AC013733.3	0	0	0	0	0	1
AC013733.4	1	1	1	1	1	2
RP11-366L5.1	7	7	6	7	5	5
SSFA2	5794	5493	6469	5913	4744	5494
PPP1R1C	23	35	28	26	30	32
PDE1A	5	11	6	5	10	11
DNAJC10	2121	2406	2144	1978	1857	1763
FRZB	4	3	2	4	7	4
NCKAP1	5312	5479	5360	5001	4429	4255
DUSP19	25	39	20	25	32	21
AC064871.3	0	1	0	1	3	1
NUP35	603	641	625	566	591	553
RP11-438L19.1	4	4	7	10	7	3
AC093639.1	0	3	2	3	1	0
ZNF804A	86	67	84	102	101	96
AC007966.1	2	2	0	2	2	3
FSIP2	27	21	26	23	34	23
AC008174.3	1	2	3	1	1	0
AC097500.2	1	6	1	4	3	7
RP11-410E4.1	0	1	1	2	2	5
ZC3H15	1913	1943	2007	1824	1701	1865
AC018867.1	0	0	1	2	0	0
AC018867.2	0	0	1	0	0	0
ITGAV	6119	6230	5674	6735	5977	5586
AC017101.10	0	0	0	0	3	0
FAM171B	456	694	341	478	616	305
ZSWIM2	3	3	4	0	6	7
AC007319.1	6	7	2	7	5	6
CALCRL	9	15	15	6	15	13
TFPI	934	1142	1085	943	716	929
LINC01090	0	3	2	0	0	3
GULP1	656	826	619	652	565	463
DIRC1	2	0	1	1	3	2
COL3A1	449	581	198	405	451	164
COL5A2	13199	14227	9229	12268	10062	7294
AC133106.2	1	2	0	2	1	1
WDR75	1390	1466	1313	1626	1404	1403
SLC40A1	8	10	7	6	13	7
ASNSD1	619	616	660	610	533	543
ANKAR	47	37	37	49	27	51
OSGEPL1	129	137	174	206	155	164
OSGEPL1-AS1	6	1	1	4	3	3
RP11-455J20.3	1	4	2	5	2	4
ORMDL1	453	600	596	559	626	510
AC013468.1	1	1	0	0	0	1
PMS1	457	544	555	509	497	491
C2orf88	18	20	14	23	13	18
MSTN	3	3	5	5	2	2
HIBCH	497	673	508	533	560	481
INPP1	123	98	151	130	80	125
MFSD6	301	341	199	335	397	216
RP11-647K16.1	6	2	1	1	0	5
TMEM194B	263	273	250	287	209	225
AC093388.3	5	1	5	8	4	2
NAB1	778	916	736	956	903	740
AC006460.2	3	5	4	1	2	2
AC005540.3	4	5	2	3	2	2
GLS	1229	1297	1223	1203	1078	1192
STAT1	3157	2948	2900	3773	3187	3019
AC067945.2	1	0	0	1	0	3
STAT4	21	21	15	14	19	18
AC092614.2	5	5	4	2	8	9
MYO1B	1927	1786	2260	2497	1920	2180
NABP1	1060	1285	1270	1353	1556	1427
AC098872.3	1	0	0	2	3	1
SDPR	10	18	6	14	11	13
AC098617.1	7	5	3	5	7	9
TMEFF2	5	4	5	5	10	12
AC013401.1	1	1	1	0	0	1
AC013401.2	0	0	0	0	0	3
PCGEM1	2	2	0	1	3	6
RP11-764E7.1	0	3	1	1	0	0
AC018799.1	1	0	4	3	2	4
AC006196.1	5	0	3	5	0	4
AC010983.1	0	1	0	4	0	1
AC064834.1	1	1	1	2	1	1
RP11-762E8.1	1	3	0	0	1	1
AC064834.2	0	2	0	0	3	2
AC064834.3	0	1	0	1	1	0
SLC39A10	527	648	640	861	949	828
DNAH7	50	79	39	40	50	43
STK17B	547	521	569	703	669	658
RP11-347P5.1	1	2	6	3	2	5
HECW2	363	328	411	400	332	410
AC020571.3	5	9	1	2	6	9
CCDC150	241	273	309	313	295	270
GTF3C3	1189	1407	1299	1165	1029	1029
C2orf66	1	6	3	2	2	4
PGAP1	385	452	409	449	477	374
ANKRD44	355	313	481	364	269	431
AC013264.2	1	0	1	0	0	0
AC010746.3	0	0	1	1	0	0
SF3B1	7859	8333	8297	8651	7792	7240
COQ10B	345	332	346	518	481	418
HSPD1	18953	21742	19519	15883	14573	14624
HSPE1	893	845	866	1002	888	940
MOB4	237	309	288	343	316	273
RFTN2	14	9	7	12	7	17
AC011997.1	0	2	1	1	3	1
MARS2	458	437	504	557	467	520
BOLL	6	5	4	7	3	8
PLCL1	7	6	7	9	7	9
AC109589.1	1	0	1	2	2	0
AC005235.1	1	3	1	3	2	4
AC019330.1	2	0	1	1	2	0
AC018717.1	1	1	0	2	2	0
SATB2	776	806	901	887	785	826
RP11-486F17.1	1	3	1	5	3	3
SATB2-AS1	49	54	57	42	44	51
AC093590.1	5	7	1	3	6	3
FTCDNL1	19	12	22	16	15	24
C2orf69	560	581	586	607	509	544
TYW5	230	246	253	242	244	222
C2orf47	277	256	246	313	240	255
SPATS2L	5968	6021	6362	5883	4814	5280
KCTD18	363	372	384	439	429	406
SGOL2	1367	1486	1315	1394	1312	1249
AOX1	34	23	31	29	27	55
AC007163.3	1	5	2	2	5	3
AC007163.6	6	0	2	7	2	7
BZW1	5888	6107	6158	6384	5415	5390
RP11-469M7.1	29	20	28	29	27	31
CLK1	759	661	749	736	622	743
PPIL3	213	240	228	255	260	244
NIF3L1	700	741	801	734	717	648
ORC2	755	872	780	799	846	751
FAM126B	302	335	295	270	256	280
NDUFB3	568	797	670	639	735	630
RP11-13J8.1	0	0	2	4	1	1
CFLAR	718	720	728	845	817	682
CFLAR-AS1	4	7	3	5	8	5
CASP10	11	13	11	12	20	11
CASP8	650	721	691	921	764	825
ALS2CR12	9	12	10	7	14	19
TRAK2	1220	1319	1260	1362	1299	1103
STRADB	412	451	406	420	408	387
ALS2CR11	11	7	5	14	20	12
TMEM237	463	538	500	525	562	493
MPP4	21	14	3	20	22	10
ALS2	1473	1547	1526	1522	1495	1551
CDK15	12	6	21	12	16	25
RP11-107N15.1	1	3	0	1	3	0
FZD7	350	273	457	341	270	415
AC079354.1	7	11	8	8	14	4
AC079354.3	0	5	4	1	4	2
AC079354.5	4	2	5	2	3	6
SUMO1	1702	1901	1831	1826	2034	1983
AC079354.2	1	1	0	0	2	0
NOP58	2463	2493	2665	3018	2713	2715
RP11-686O6.1	0	0	0	0	2	1
RP11-686O6.2	3	8	6	5	11	3
BMPR2	1571	1783	1426	1536	1589	1315
FAM117B	163	200	119	155	202	143
ICA1L	130	165	136	142	127	117
WDR12	1370	1391	1646	1427	1275	1310
CARF	114	131	115	93	101	99
NBEAL1	493	670	520	507	551	463
CYP20A1	184	187	190	189	172	167
ABI2	1656	2058	1844	1593	1616	1485
RP11-363J17.1	0	1	1	0	0	0
RAPH1	176	158	177	191	152	131
CD28	2	2	6	5	7	6
CTLA4	3	5	1	2	3	3
ICOS	4	1	1	0	7	4
AC009965.2	3	3	1	1	4	1
AC009498.1	0	0	0	1	1	1
AC016903.1	0	1	2	1	3	1
AC016903.2	0	1	0	0	1	0
PARD3B	63	87	62	61	64	52
NRP2	288	257	162	202	222	138
AC007362.3	2	1	3	1	2	3
AC007679.3	0	0	2	1	0	0
INO80D	495	523	507	617	546	553
AC007383.3	15	22	20	26	19	18
NDUFS1	3030	3444	3006	3210	3176	2726
EEF1B2	4688	5388	5363	5503	4938	5131
GPR1	12	8	9	7	8	9
ZDBF2	174	238	216	276	268	265
AC017081.1	0	0	0	1	2	1
ADAM23	12	9	16	17	20	21
AC010731.2	0	0	0	0	1	2
AC010731.3	0	1	0	2	0	1
AC010731.4	1	0	0	1	0	1
DYTN	2	6	4	4	5	4
MDH1B	37	40	21	19	23	29
FASTKD2	895	746	901	820	679	825
RP11-95H11.1	3	1	0	1	1	0
AC008269.2	2	3	0	0	2	0
CPO	7	4	4	4	5	6
KLF7	222	333	229	303	287	191
AC007879.1	1	1	0	3	2	3
AC007879.2	2	3	3	2	1	7
AC007879.4	0	2	1	1	2	0
AC007879.3	1	1	1	2	2	3
AC007879.7	2	2	2	1	3	5
AC007879.5	5	11	3	7	6	12
AC007879.6	1	1	0	1	0	1
CREB1	480	608	498	619	676	635
METTL21A	318	322	387	311	314	358
AC079767.4	1	1	0	1	0	2
CCNYL1	2148	1885	2487	2291	1824	2133
FZD5	562	501	634	651	495	583
AC096772.6	12	22	16	19	27	17
PLEKHM3	85	91	74	83	64	69
CRYGD	1	0	1	1	2	0
CRYGC	1	1	2	0	0	2
CRYGB	1	1	2	1	0	1
CRYGA	0	0	0	3	0	4
C2orf80	3	1	4	3	6	4
IDH1	1088	1834	1134	1345	1699	1155
IDH1-AS1	4	13	8	6	19	18
PIKFYVE	1805	2023	1774	1961	1732	1577
PTH2R	10	7	10	7	13	15
MAP2	530	917	608	397	544	441
UNC80	24	20	26	20	38	43
RPE	1377	1693	1340	1428	1408	1272
KANSL1L	157	189	128	164	181	148
RP11-260M2.1	2	9	3	3	2	4
AC007038.7	6	10	10	4	10	11
AC006994.2	1	2	0	1	2	3
ACADL	5	4	6	5	7	7
MYL1	2	6	2	4	4	7
AC007970.1	11	17	10	10	21	8
LANCL1	1330	1852	1318	1531	1671	1264
CPS1	301	400	228	311	351	183
ERBB4	14	8	11	16	14	19
AC093381.2	1	1	1	5	3	1
AC108066.1	0	2	2	2	0	2
IKZF2	21	31	22	24	19	29
RP11-105N14.1	1	1	1	1	0	1
RP11-105N14.3	1	2	1	3	1	0
RP11-105N14.2	4	0	1	1	1	2
AC079610.2	4	0	1	0	4	5
SPAG16	219	300	196	170	224	165
AC107218.3	2	2	0	0	1	1
VWC2L	7	5	1	3	6	5
BARD1	351	355	332	429	303	326
AC072062.1	9	14	8	15	20	5
ABCA12	24	21	23	19	38	25
AC072062.3	0	2	2	2	2	3
AC073284.4	0	2	2	1	0	0
ATIC	3622	3217	3935	4060	3421	3627
FN1	99	85	58	98	91	57
AC012462.1	0	1	1	0	0	0
AC012462.2	1	1	2	1	4	5
AC012668.1	2	1	2	1	2	2
AC012668.2	0	5	2	2	5	3
AC012668.3	0	0	0	0	2	2
LINC00607	8	11	6	10	18	10
AC093850.2	1	0	1	1	1	2
AC122136.2	0	0	0	1	1	0
AC093382.1	2	1	2	3	1	2
MREG	252	206	267	367	248	296
PECR	158	221	181	163	175	163
TMEM169	23	34	12	19	32	16
XRCC5	9177	9626	9698	10029	9274	8792
RP11-566E18.3	190	190	158	138	123	126
MARCH4	337	151	412	389	220	428
AC012513.6	0	0	2	1	0	2
AC069155.1	1	2	1	4	2	2
AC098820.2	1	1	0	1	2	2
SMARCAL1	896	825	916	809	682	740
AC098820.4	4	4	7	3	3	2
RPL37A	6402	7599	7702	7844	7300	7928
AC073321.3	0	2	0	0	1	1
AC073321.4	1	1	0	1	0	2
IGFBP2	1495	1534	1954	1757	1554	1774
IGFBP5	4	4	5	4	10	9
AC007563.5	0	1	0	1	3	4
AC007563.3	1	0	1	0	0	2
AC007557.4	0	1	1	0	0	0
TNP1	2	1	0	1	0	0
AC007557.2	1	0	1	1	0	1
AC007557.3	0	1	0	1	0	1
AC007563.1	4	2	1	8	4	2
AC007557.1	0	1	0	0	0	0
RP11-574O16.1	0	1	0	1	0	0
AC009492.1	2	0	0	1	0	0
DIRC3	5	7	6	6	10	10
TNS1	26	20	13	16	31	32
AC010136.2	1	0	0	0	0	0
RUFY4	7	2	4	8	9	5
CXCR2	2	4	1	5	6	3
CXCR1	0	5	0	3	3	3
ARPC2	4849	4846	5097	5063	4448	4656
GPBAR1	4	10	7	5	8	5
AAMP	3719	3668	3603	3648	3107	3030
PNKD	676	941	670	786	940	617
TMBIM1	2108	2262	2277	2156	2053	1986
AC021016.8	4	5	1	2	2	2
C2orf62	15	21	17	8	20	5
SLC11A1	12	20	12	14	22	19
CTDSP1	1170	1301	1226	1757	1632	1600
RP11-378A13.2	3	0	2	1	0	0
VIL1	9	9	9	8	13	11
USP37	512	461	520	442	365	357
RQCD1	2061	2060	2174	2169	1782	1762
PLCD4	235	258	198	275	325	192
RP11-548H3.1	0	0	1	2	0	0
ZNF142	1087	775	1130	1235	885	996
BCS1L	736	727	845	783	706	761
RNF25	679	581	609	765	651	621
STK36	728	825	822	716	753	688
TTLL4	1241	1148	1322	1397	1039	1179
CYP27A1	7	6	10	11	13	8
RP11-459I19.1	0	1	0	1	1	0
PRKAG3	4	6	5	5	5	5
WNT6	23	23	17	19	23	13
WNT10A	37	36	33	49	52	34
AC073128.10	3	2	3	2	1	0
AC097468.7	1	0	0	0	1	2
CDK5R2	15	29	9	35	41	33
LINC00608	1	3	2	4	4	3
FEV	2	0	1	1	1	1
CRYBA2	3	2	1	2	4	4
AC097468.4	1	1	2	2	1	2
CCDC108	17	17	9	16	21	18
IHH	5	2	0	1	5	3
RP11-33O4.1	10	14	13	16	9	15
NHEJ1	4	5	3	4	9	8
SLC23A3	77	98	64	74	75	68
CNPPD1	975	997	959	888	716	799
FAM134A	2257	2253	2120	2256	1918	1843
ZFAND2B	372	395	379	415	371	306
ABCB6	54	62	57	78	77	59
ATG9A	3300	3314	3164	3148	2597	2741
ANKZF1	539	771	603	520	694	634
GLB1L	146	183	168	131	125	113
STK16	506	528	522	518	434	463
TUBA4A	211	171	128	229	187	129
DNAJB2	1337	1509	1436	1458	1464	1411
PTPRN	10	18	12	9	10	16
AC114803.3	1	0	0	0	0	1
RESP18	0	3	1	1	3	3
DNPEP	991	957	769	1131	1075	790
AC053503.4	3	5	3	5	6	1
DES	4	3	3	1	5	7
AC053503.6	0	0	0	0	0	1
SPEG	33	52	41	46	88	46
AC053503.11	0	1	1	1	3	1
RP11-316O14.1	3	2	1	0	0	1
GMPPA	1019	1174	1054	1059	1077	956
ASIC4	3	7	7	3	8	5
CHPF	1139	1124	1200	1214	1099	1146
TMEM198	80	75	80	118	104	94
RP11-256I23.1	0	2	0	1	0	2
OBSL1	876	852	919	1156	933	989
RP11-256I23.2	0	0	1	1	0	1
INHA	10	36	17	20	31	24
STK11IP	722	742	713	737	644	603
AC009955.8	2	1	0	1	0	0
SLC4A3	283	306	338	366	403	376
RP11-256I23.3	0	0	4	0	0	0
AC009502.4	4	2	4	5	3	2
AC008281.1	0	0	3	0	0	0
AC114765.1	0	2	0	1	3	1
AC114765.2	0	1	0	0	1	2
AC067956.1	4	1	1	1	3	3
AC093843.1	0	1	3	0	0	2
EPHA4	11	8	9	12	16	26
CTD-2308L22.1	1	0	1	0	1	1
AC068489.1	0	1	0	1	0	1
PAX3	9	3	6	4	8	5
CCDC140	2	1	0	1	1	1
RP11-384O8.1	1	1	2	2	2	4
SGPP2	10	10	18	10	15	18
RP11-16P6.1	14	8	13	15	11	15
FARSB	1708	1794	1754	1818	1648	1627
MOGAT1	1	1	1	1	3	5
ACSL3	1381	2462	1764	1644	2234	1723
AC097461.4	4	4	3	3	2	4
KCNE4	8	6	2	9	8	13
AC013448.1	0	4	1	0	4	1
AC013448.2	0	1	1	0	2	3
SCG2	119	160	66	79	94	47
AP1S3	461	588	595	681	861	847
WDFY1	1750	2365	2042	2045	2050	1888
MRPL44	777	808	694	780	699	710
AC073641.2	0	1	0	1	2	0
SERPINE2	85	59	33	115	108	46
FAM124B	3	1	4	4	2	8
CUL3	2374	2631	2381	2441	2068	1846
DOCK10	297	281	302	404	285	308
AC067961.1	0	0	0	1	3	0
NYAP2	3	4	4	5	8	7
RP11-314B1.2	2	2	7	2	1	3
AC068138.1	0	0	1	1	2	3
IRS1	3282	3168	3385	3502	2853	3010
RP11-395N3.2	28	47	50	42	53	62
RHBDD1	569	596	673	598	546	640
COL4A4	30	30	16	20	25	25
COL4A3	18	18	19	14	26	21
AC097662.2	12	16	15	23	19	23
MFF	858	992	866	885	849	818
TM4SF20	4	4	3	2	6	5
AGFG1	2066	2258	2080	2374	2174	1866
C2orf83	1	1	1	3	7	3
SLC19A3	13	13	8	17	20	12
CCL20	13	20	21	32	66	39
DAW1	12	12	11	9	13	23
SPHKAP	11	8	4	5	8	13
AC009410.1	1	1	1	2	1	5
AC074019.1	0	0	1	2	0	0
PID1	197	204	178	232	196	232
DNER	106	71	116	125	93	92
